,body
82,"Good overall phone, bluetooth so far syncs well with the integrated bluetooth in a Mercedes that I used to have and also with the aftermarket Alpine stereo that I have in my VW. But some of the features and design are just poor and/or not thought out. Looks great but the body is far too slippery. It's like handling a bar of soap. I use it as my primary alarm clock in the morning and it's really clumsy to grab off the nightstand and shut off the alarm. Even when I'm fully awake and alert :-) it's hard to open and I've dropped it a few times while fumbling to open it. There is a wider slit on the clamshell lid to fit your finger into when opening in portrait mode but in landscape mode there's no place to insert your finger to flip it open, so you have to use your fingernail. Unlike my previous phone, it takes two hands almost all the time to open this thing whereas my old phone I could easily flip it open with one hand. I wish the alarm clock's snooze function was like most clock radios where it allows 10 minutes snooze time, not 5. 5 is just too short. Or, the phone should allow you to set the snooze period as a preference. There is no way to display the time on the front screen when the phone is dark; you have to open it up. Well, you can fake it by holding the lock button for the music keys, which will light up the display) but then you have to hold it a second time to reset the lock/unlock back to where you had it. Also, when you're on a call (although just about every cell phone fails on this) the clock doesn't display anywhere (so this is no better than other phones). How many times have you been on a call and said ""Hey let's meet later!"" and the person asks you ""Ok, what time is it now?"" and you can't tell. (I quit wearing watches because of the clocks on cell phones...but why don't they display the time when on a call?) The keys on the outside aren't too bad except the volume up/down is a little too easy to accidentally press. I like the keyboard idea overall but I find it's like typing on little Chiclet gum candies. I need to use my fingernails to avoid fat-fingering it. In QWERTY mode, the END button is too close to the space bar and I have inadvertantly killed my web browser when typing a space in a field on a page. Frustrating! With the END key was farther away. Wish they would have also engineered in some page up/down keys too, as scrolling line by line is cumbersome. I would also like the END and SEND keys to somehow be the traditional red and green colors too. I use Outlook on my netbook to ""sync"" (sort of) my contacts to the phone. This works alright but if you want to refresh your contacts you have to delete them all from the phone and then resend them over or they'll be duplicates. This is a bit annoying only in that you will then need to re-enter the ICE contacts manually. The bluetooth can send pics to my netbook, but only one at a time (cumbersome). Can't select multiple photos at once. Won't send videos at all to my netbook via Bluetooth. Have to send them via a picture message to email and fake it that way but you incur data usage charges doing it that way. Or you can use removable storage on the MicroSD card to do it. The biggest disappointment is the calendar. What a useless piece of junk! It says you can send calendar appointments to the phone, which you can, but it is half-baked. If you set a reminder in Outlook, the reminder doesn't carry over to the phone. The phone only supports one text field for the appointment and it corresponds to the Outlook appointment body (not the header meeting description nor location), so I have to retype the description and location in the Outlook calendar body if I want to see anything useful on the phone. Even then, some appointments come over with an empty text field on the phone (it is either a problem with the text being too long and/or having a carriage return in the text I think). So if I try to then enter it on the phone (enter the description in the displayed (and empty) text field), the phone freezes and then reboots. Terrible! The recurring meeting also is miserably half-baked. You cannot set an interval like ""every other week"". I work a 9/80 work schedule and I want to have every other Friday that I work in my phone so I know when I'm off work or not. I can only choose daily, weekly, monthly, or annually. So while it does take Outlook calendar items, they end up so flawed and useless that if you really do plan on using this phone as an organizer, don't; it will fail to meet your needs. I understand that Samsung uses this same calendar in many of its products and if so, it will be a deal breaker next time around for me and I'll shop a different brand. The add-on Mobile Email from OZ isn't too bad but it also has room for improvement. It is billed as ""fully integrated"" but not in my eyes. While the phone itself has a limited file viewer for certain file types stored on it, if you receive an email with attachments (even if just a .jpg), the OZ mobile email doesn't support accessing attachments. This is not what I call ""fully integrated"". The OZ email client also works a bit inconsistently (although maybe it's an issue with the email providers and not OZ?). With my Cox POP3 accounts, I can only access the inbox (not sent items). With Yahoo and Hotmail, I can access the various folders OK. With my university's email account (hosted by Google GMAIL), it displays both the inbox and the sent items in the inbox (really weird, and I imagine if I had other folders it might lump everything togeter as well). The user interface for the OZ mobile email isn't too bad although it was a bit unintuitive to find how to add a recipient to an email from the phone's contacts. Can be done but just was hard to find. Also isn't clear on how to add multiple recipients (use a comma or semicolon between them? don't know...) Beware of Verizon's compusory data plan with this phone. It is misleading. Supposedly for $9.99 a month you get 25MB of data usage. This often isn't presented clearly. It applies only to the web browser. Texting and picture messaging are not part of this 25MB **even though they use a data connection!**. It should be called a ""web browsing plan"", not a ""data plan"". So unless you pay for an additional texting plan, you will be charged for each message. I was pretty furious when my first bill arrived to find I was charged for the picture messages I sent thinking it was part of my ""data plan"". The mp3 player is alright although once or twice it froze up on me and I had to restart the phone. The headphone jack is a nontypical 2.5mm so you will need an adapter to go to 3.5mm. Booooo. Battery life is so-so. If at work I listen to mp3s during the day and also do a little lunchtime web browsing for about 10-15 minutes, I can easily go from a full battery to dead in about 5-6 hours. I don't know if this is typical or not of most phones, but it'd be nice if the mp3s can make it through one whole workday, but it can't. Sound on the built-in speakers is decent for something so small."
83,"I loved my Samsung Alias, as most Alias owners do. I decided to purchase the Alias 2 on faith, assuming that Samsung had simply updated certain features of the original. I was mistaken. The first thing you will notice is the size; the alias 2 is taller, thicker, and wider than the original. If you are like me, one of the reasons you bought the original alias was it's super-slim design. I would say it's about 50% bulkier than the original. While the original slid into your jeans and disappeared, the new one will stick out like a sore thumb. I suppose the increase in size supports the new and improved camera/camcorder but I never used that feature too much in the first place. Ultimately, I would say this is the reason I returned the alias 2, but I also did not care for the much ballyhooed liquid ink screen. When texting, you must toggle through 3 screens to find all the numbers/symbols/punctuation marks that you need. In fact, the third screen only had a scant number of symbols on it, so the empty space is frustrating when toggling to the first screen for the letters. The empty space is a theme on all screens in fact, in either orientation. As I said, I found this annoying (maybe only because I became so used to the 1000 figures/symbols crammed onto the original alias phone pad). I ended up returning the alias 2 and going back to the original. I will keep my new every 2 discount until Verizon comes out with a very good Android or Apple finally relents with the iphone/At&T exclusivity."
85,"The messaging features are nice. Typing text messages is not so much of a hassle with the keyboard. Also, the screen is quite pretty. I have found the morphing keyboard to be a great feature. When receiving calls, the phone works over half the time, but it sometimes resets when I attempt to answer calls. Also, at other times it lights up when a call is coming in, but won't actually finish the process and start ringing, so I don't know who actually called until they tell me later. I'm beginning to kick myself for signing a contract for service with this phone, and I suspect that it is going to be a pain in the butt until the contract is up."
86,"I have been using this phone for a few days now and I like it. I am not a big ""gadget phone"" fan, preferring a simpler device that does just what I want. The voice quality is acceptable and after a short learning cycle is easy to use. The Alias 2 allows me, a novice texter, to send and receive text messages with no real hassles. The keypad is a great size, even for my larger fingers. I would have given 5 stars, except for the learning curve required to figure the phone out. Not that this is bad, but it is definitely different than the older phones I was used to."
87,"I've had this phone for a couple of months. It's pretty cool in the way the screen and keypad can be used in either portrait or landscape. However, the keys don't have good tactile feedback. I have to type with my fingernail in order to press the keys hard enough and accurately. Its voice recognition software is worthless, so if you are accustomed to using this feature to dial (such as in the car using an earpiece), don't bother. The camera and camcorder work very well and the quality of the pictures and display are really good. The battery in this phone doesn't last near as long as my old LG, however this phone has many more features, so I think the battery life is acceptable. It's got a sleek design and it's fun to use, however, I don't think I'd buy another one because of the usability issues."
88,"My Alias 2 keeps shutting off, even with a full charge. I thought it might be a problem with my battery until my husband's phone started doing the same thing...several times a day! Since then, we have heard of two other people having the same problem with the Alias 2. The local Verizon store offered a software update, but with no guarantee that it would correct the problem. They claim that this phone wasn't a big seller, and they have never heard of this problem before. They refuse to look into the problem, saying that's just the nature of electronic devices...no guarantees. Anyone else having this problem?"
89,"Had a Samsung A-310 for 6 years...a die-hard, sturdy phone. Wanted the same, with improved features. Looked for a flip phone (no purse-calling) that was intuitive, and had decent-sized keys to start texting - and this is it. You have SOOOO much room, because the keyboard changes with your need. Easy to use - intuitive for basic functions. If you choose to read the manual, there is a LOT more there. It's wonderful - thanks Samsung!!!"
90,"Overall I like the phone for its call quality. I love the keyboard and find it very easy to type text messages. I haven't used the camera or the Bluetooth features. I can access my email accounts easily. The main problem with the phone is that locks up when I attempt to use the MP3 player. I have an 8GB MicroSD card with all of my music on it. I hook the phone up to my car radio to play it. Everything was fine for the first month, but now the phone locks up or freezes when it's in media mode and the only way to unlock it is to remove and then replace the battery. Very annoying. The phone has also turned off several times when I was attempting to answer a call."
91,"This is a excellent phone great talk time, excellent standby, very user friendly, I may state it takes a little time to get use to but so does it when you change to new anything. The only down fall is the top 3 keys when your texting when you have large fingers, besides that I would recommend this phone to anybody my wife and kids go through phones like water so had many phones but this one is very unique exspecially with the flip screen. The pictures are excellent minus not having a flash i can live with that cause in low light still takes excellent pics. The flashes on all other phones are a joke those are only good for a couple of foot so take how you want but I recommend this phone for anybody men or women is is very unique. Only gripe is for my wife could be in different colors but my gripe is 3 top buttons could be different thanks for reading Jeff."
92,"Don't bother with this piece of junk. It is the worst phone I have ever owned. Turns itself off inexplicably 15 times a day. Shuts down in the middle of a conversation. So embarrassing. If you ""close"" it too fast, it shuts down. Also, the body of the phone is way too ""slippery"" --- I have dropped it out of my hand a dozen times only because it's too darn slippery to hold. Impossible to flip open the phone with one hand, you need both hands to open it. Terrible product. I am thinking about quitting Verizon simply because they offer this POS phone. Don't waste your time or money with this junk."
93,"I got mine for free with the purchase of my wife's blackberry. With the understanding that this is not a full computer, its a great tool tpo give you quick access to the internet. I really don't like working on lap tops, so only own a desktop. This leaves me limited in where I can have access to the internet. This thing gives me access everywhere. I have wireless in the house and I use the broadband everywhere else. Because it is only a netbook it does have its limitations. If you are looking for a full featured machine, this is not for you. But for quick access to the internet and most files, its great."
94,"Pros: Creative use of buttons, big screen, qwerty keyboard Cons: Doesn't sync with Outlook, clunky user interface, muddled audio in ear piece/speakerphone I really have to give credit to Samsung because of the creatively designed keypad, but I don't recommend this phone overall. The phone user interface isn't simple, and is made somewhat more complicated because they keyboard layout is constantly changing based on what screen you're on. For example, there's an awkward key layout in some versions of the layout, takes too many keystrokes to do things like turn off an alarm (I guess I've been spoiled by almost always owning Nokias, as they tend to have the best-designed user interfaces). Aside from the clumsy UI, the biggest thing that killed this for our family was its inability to sync contacts and calendar events with Outlook. Maybe there's a way to do it with a combination of MyVerizon and USB cables, but its not worth the effort, especially when I can switch to a Nokia that takes care of it (as an aside, I switched to AT&T a week later because of the poor phone selection at Verizon. Also, Verizon disables any Bluetooth syncing capabilities with Outlook, even for the few Nokias they offer.) Overall, the phone is designed creatively, but its hip design doesn't make up for its poor UI and lack of features that were essential to me."
96,Has some real ram issues. It is really unusable. It takes a good 3 minutes just to run a program. I got mine for free for signing up for Fios and I feel like I got ripped off. I thought it would be a nice little thing because we only have 1 computer in my house. But really this can be used for nothing more than a paper weight. DO NOT BUY. I had to give 1 star because 0 stars wasn't an option.
97,"Great phone, which has the comfort of a larger phone, mixed with a very easy to use qwerty keyboard. the keyboard has nice space, and a texture that feels like the kindle. With the touch of a button, the QWERTY turns into 1234, or /?!> ect. Just a need phone, highly recommended."
98,"I have had this fone for two years, and have not had one problem with it.......love the magic keys.....will wait till the Alias 3 comes out to upgrade and it better have the magic keys!"
99,I just got this phone a couple days ago and I am in love. It works great. Texting is a breeze. Great size.
100,"The first time I heard about the Samsung Alias I thought I was in for a unique phone/messaging experience. After all, it contains the E Ink powered keyboard technology where keys can transform from vertical to horizontal and from regular to QWERTY keyboard at the touch of a button and using the dual-flip style that makes this phone more than just the typical flip phone. The first release had its faults, which is why Samsung and Verizon have released the Alias 2. The phone has its improvements. The best one is the fact that, when flipped open sideways, you get enough room to navigate and type with the QWERTY keyboard. The keys are not as crammed in together as the first Alias, for more comfortable typing. The phone also contains GPS, VCast Music with Rhapsody, web e-mail , IM capabilities and a mobile web browser. You can use these features with Verizon's fast EV-DO/3 G network. The phone also has a user-friendly menu and beautiful internal and external display. It's got 80 MB of internal memory (memory expandable to 16 GB with a media card) and a 2 MP camera with some nice, though limited video-recording capabilities. The Alias 2, though an improvement from the original Alias, has its downsides. For one thing, it looks outdated. At a mere glance, it looks like a typical flip phone that's been out for years. It only comes in one color (grayish black), and there's nothing about it that makes it attractive or unique at first glance. The keys are difficult to press. I had to press the keys rather hard every time I used the QWERTY keyboard. My thumbs ached after a while. The OS is quirky. It froze on me quite a few times and I had to do a force reboot. Very annoying when you're in the middle of sending a text message or checking your e-mail. And that's another thing, the calling, or lack thereof. I had about three dropped calls in one day. That's a lot for a phone, especially when I had most if not all network bars. What gives? And last but not least, the phone contains the same old Verizon menu and looks. The only nice thing about it is that you can personalize the internal and external screens with some cute animated wallpaper or other. All in all, the Samsung Alias 2 has all the makings for a popular messaging/multimedia phone. However, I don't think it's quite ready for prime time yet. A slicker design would be nice as well as some improved features and smoother keys. If you're in the bargain for a messaging phone that's stylish as well as functional, and you're in the Verizon network, I strongly recommend the LG enV3 or the enV Touch. You cannot go wrong with those two phones. In the meantime, if you really want this phone, make sure you weigh in the pros and cons before you decide to commit to it for two long years."
101,"Let me preface this review with a disclaimer: I am NOT a techie nor a tycoon who needs continual internet access lest the global market crash. I need a basic phone, and want a few bells and whistles. I replaced a basic LG cell phone with the Alias2 on the recommendation of a friend. I immediately liked the heftier feel and the easier to read displays, though I swiftly changed the rather twee and hard to figure out menu page. Pros: I LOVE having dedicated keys for voicemail, bluetooth and voice menus. The rotating keypad is just too cool for words, and though I don't send many texts, I use the notepad all the time. The QWERTY keyboard is very easy to use, even with fingernails. It's nice to know I can check email and have internet access if necessary, though I probably never will. The camera is great, and I like the editing options for pictures. The screen size is generous and easy to see, especially in landscape mode. It's easy to use. Sound quality is good. Nice long life of battery charge. Cons: The default backgrounds, though those are easy enough to change. Some functions are difficult to find on the menus. That's how I found the voicemail key--couldn't find VM on a menu. The ring isn't loud enough to be heard when the phone is in a jacket pocket--but I've never found a phone with a loud enough ring. There's not a button on the outside that will light up the display--to check the time, you have to open the phone. (ETA: Yes, there is--it just takes a few seconds for the display to light. Duh.) This phone was a good choice for me, and I'm very happy with it."
102,"Calls are fine; battery life is terrific compared to the LG phone I just discarded. Nearly identical software found on every other Verizon phone I've had, yet the standard issue ring tones on this one are pretty bad. Great camera, HOWEVER, no support Bluetooth file system profile -- nor support for marking multiple photos for push, meaning that I have to push each picture painfully and slowly one by one to my PC via Bluetooth. So I should be done pushing the 100 or so pics I took today in about 28 days... lovely. Also, END key is right next to the SPACE key. If you inadvertently tap END while using the mobile web, it exits no matter what/where you are and it is absolutely maddening while you're trying to learn the keypad layout. Time on the front display is permanently set to 12-hr mode. I don't think I'm going to keep this one for long."
103,"The real standout feature on this phone is keyboard. I made the mistake of assuming that the mp3 bluetooth audio would be at least as good as my original LG chocolate from 3 years ago, especially since verizon just copies its old OS onto everything. The bluetooth stereo is almost unusable, very tinny, no way to adjust the sound profile. If you plug a wire in it sounds great, but not very useful. Phone call quality is ok. it has a spot for upto 16GB card, which would be perfect if it was useful as an MP3 player. If it wasn't too late to return it , I would. Also the Voice recognition is not accurate or useful, something else that used to work flawlessly with my 3yr old chocolate."
104,"As a teenager, I do a lot of texting. This phone has a great full QWERTY keyboard or if you want, a number pad. The changing keys are cool and people go ooo! and ahh! as they see you flip it both ways. The 2 megapixel camera is good for recording video and photos. There is only a small piece holding the screen to the bottom unit in the corner that seems flimsy from the pictures. It is NOT a flimsy device. This was not a problem. In fact, while walking home on a trail I dropped it without realizing it. The next day I was looking for it all over. When I was walking on the trail I noticed it in the mud. I was mortified because people drive ATV/Quads all over the trail. Upon lifting up the phone I saw that it had been run over and caked in mud. I knew it was not going to work because of how wet it was. Amazingly, it worked fine. I got home and brushed it with a paper towel. It's as good as new. The only problem is that you have to change the keyboard layout in order to get to the numbers. This makes it just as hard to type the number 4 as it is to type four. It's a nice reliable little phone. If you are interested in a standard phone for texting and calling, this is great for you. Pros: Durable Reliable good for texting Cons: A little slow sometimes It's slippery Not a smartphone but it's a cheap one The best secret feature is that if you scratch the back a certain way it makes a cool noise like scratching a record."
105,"I love the e-ink technology (the qwerty keyboard is great for texting), but that is the highlight. The huge drawback, if you need to make calls with the bluetooth, is that the voice activation system is useless. My old phone worked flawelessly in this area, but with the Alias 2, if I say, ""Call John Smith,"" IF it responds (and many times it doesn't), it will say, ""Did you say dial 123?"" or some other number, or name that is nothing like the one I've said. It's incredibly frustrating. I don't want to look at my phone as I am driving, that is why I rely on the Voice Activation/Bluetooth to make my calls. Without voice activation working properly, I am looking at my phone, scrolling through my address book, and just generally distracted instead of focusing on the road. SO DISAPPOINTING."
106,"I got this thing and loved it. It is great mini computer for everyday on the go use. Nice size, screen is not too small but not too big either. Keyboard is just as easy to use as a large keyboard. Operating system if you get it in XP works well on this little PC. It does just about everything a large one would do but more portable. I would recommend!"
107,"My daughter and I both got the LG enV2 about 8 months ago. We're currently waiting for our third version of this. Both phones of our first phones failed within 5 months (keys stopped working on outside, dropped calls, goes back to menu in middle of texting, calls contacts at random times and much more). We got ""new"" ones, which were refurbished phones from Verizon. They lasted a few months before failing with similar problems, plus now I have almost no volume even though its maxed on the setting. We're waiting for our next set of ""new"" phones to arrive later this week. Can't wait to see how long these last. The upgrade to a different phone isn't an option until you've been in the contract one year and can only upgrade one phone then."
108,Problem: phone was phased out by AT&T so i couldn't even use it or buy sim card or anything for it! AT&T should inform sellers!!
110,This is the third phone I've purchased for my son since we switched him to AT&T. The first two were the same phone and were no good within a few months. This one has lasted him almost a year now. He likes it and I like not having to replace it all the time.
113,It's exactly what I was looking for. Nice and simple. I would recommend this to anyone looking for less technical.
114,Brand new - out of the box - I charged this phone as instructed (four hours - I gave it six) and when unplugged - black screen. I am returning to Amazon.
117,"We were looking for an attractive, pre-paid cell phone and this fit the bill. It's easy to use, has good battery life, and includes a serviceable camera. The phone is comfortable to use (something that couldn't be said for the Motorola flip phones), snaps closed with a solid feel, and the menus are straightforward. Call quality with AT&T is very good. There are two things that could be improved: there should be a way to get photos off the phone without having to send a video text message, and it would be nice to be able to import phone numbers from a PC. For the price though it's no big deal. Other than those quibbles we're very happy with the phone."
118,"If you are looking for something simple that has great call quality this is the phone. I researched low SAR (absorbed radiation) and this was the cheapest most simple phone available. My other phone was ancient, so this feels like a huge step up. Love the speakerphone, internal antenna. The camera doesn't take super clear pictures, but my other phone didn't have a camera at all - so still a step up. Overall pleased with how it functions and quality of calls."
119,"HIGHS- good sound quality, good reception, and decent battery life LOWS- VERY small cheap feeling plastic buttons, confusing menu, no flash"
120,I saw this phone at Best Buy for the same price but with $30 included air time
121,"I bought this off of ""I sell things"". It is the wrong color, scratched and beat up badly! It's not worth the postage to return or exchange it! My daughter worked hard for this and got crap!"
122,"I was told on the phone, by Amazon customer support, that this phone had Bluetooth capability. The Amazon website even shows you bluetooth headsets as ""available accessories"". However, this phone doe not support either bluetooth or wireless headsets. I guess that is why it is so cheap. I had to return the phone. Inside the packaging, Samsung had a picture of a ""corded"" headset you could purchase for this phone."
126,"First of all I need to delete my lst review since there was much confusion when I tried to activate this phone with Verizon. This phone does not go by IMEI, it goes by DEC and HEX, the Verizon rep didn't look on Verizon guildelines as I finally did but thought it was an obsolete phone. The problem was Verizon's not the seller. The 2nd Verizon rrep got the phone activated. The seller called me and asked me to remove my negative comment which I am attempting to do. I ended up returning the phone because it wouldn't hold the charge. The seller generously gave me not only my sale price but refunded both postage to and from the seller."
128,"Horrible purchase. Came today and first thing I noticed is it is far from ""like new"". Looks like my 5 yr old has been playing with it a few yrs. Avoid at all costs. I guess its cheap for a reason. Dont waste your money"
129,"After only having this phone for a month it won't charge. First of all I ordered a pink one for my daughter and it arrived in silver. The charger that was included was clearly not the factory Motorola charger. When I plug in the phone now it displays a message saying that it is unable to charge. I have not tried an alternate charger yet, but I shouldn't have to. The one that came with the phone should work."
130,"The phone arrived with some scratches on the front and back, and I was a little disappointed when I saw the keypad was weathered and worn more than I'd like, but considering it's an 8+ year old phone, it's in very good condition. The screen, dial pad, speaker, everything works as it should. Had no problem activating it on to my existing verizon account. The included charger works great, however the battery was pretty weak, it only lasts about 10 hours or so on a full charge. Just order a replacement battery to be safe, (they're a few bucks) the phone lasts for days now with the new battery. Good phone though, good seller"
131,"I have this "" sane phone "" in "" Paris Hilton Red "". The Phone is "" Simply Awesome "" . Has "" All Great Cell Phone Features '. I Love It some much ---------- I'm "" soon going to pruchase this same phone again "" ! Would recommend this order and cell phone to "" Any And All Amazon Cusotmers "" Sinply Becasue It Is A Superior Cell Phone "" !"
132,"DISAPOINTED! phone was great, but the ""new"" battery wouldn't hold a charge long before dying. This was for my 78 yr old disabled dad and he can't use it. Too much of a hassle spent charging all the time."
135,"Bought this phone used (but claimed to be refurbished), and it was supposed to be fully tested and functional. It is not. First, the battery would not hold a charge, so bought a new OEM battery. Plugged it into the supplied (with the phone) charger, and received an error message that the charger was not an authorized Motorola charger. Bought a new charger (now we;'re up to $28.99 for the phone, $6.22 for the OEM battery, and $3.50 for the new charger. The phone refuses to work. Was able to activate it over the internet via computer, but the phone itself has internal problems. It starts, then flickers and dies. Repeated attempts to make it work were useless. Even tried using the phone with the charger still plugged in, and no luck. It lights up, flickers, and then dies, over and over. This phone was not refurbished, nor even tested. It's used, and its internals do not work properly. By the time I got the new battery, and then waited for the new charger and finally was able to use the phone, it was too late to take any action about the phone's failure to even operate in basic mode. I've got what amounts to a $40 paperweight. Be very wary about buying used phones, esp those that claim to be ""refurbished"" and fully functional. You get what you pay for, and in the case of used, or refurbished phones, you're taking a big risk that it'll even work, much less be fully functional. Lesson learned. No more used phones, nor dealing with sellers of these products."
136,I bought this for my mom. She had a smartphone but didn't like it. She loves this phone and it isn't in to bad of condition. It can be a little glitchy at times and had also turned off for no reason a couple times. The charging port is very loose and that could be reason it randomly turns off. It is a used phone and I dont think I would get another one.
138,Lovely memories are in my hand!
140,Got it in the mail way way late and then I charged it over night. I went to turn it on and it would light up on the front screen but only for a second and then go black. I never could get it to turn on and wasn't able to hook it up to the line I needed it on. Returns take forever and I really needed a phone so I wound up having to just buy another one. Money doesn't grow on trees. When you buy a product that they guarantee is in working condition they should make sure it is.
142,"This phone was advertised as Used - Mint Condition!!! When I received it, the phone looked like new and I was very excited to put the battery in and let it charge before calling my phone company to make the transfer. Once the back was removed, the phone was clearly a REFURBISHED phone from the manufacturer. Reluctantly, I placed the battery and let it charge for 12 hours until it said charge complete. I turned the phone on and let it sit for 24 hours without using it. The next day, it was totally drained. I repeated the steps again to just be sure and this time, I let the phone charge for 24 hours. Again ,I left the phone and low and behold, it was totally drained. This phone was either damaged, or had a battery problem which I will never know. I will not buy from these people again. I have to now pay for a return shipping and waste more time taking it to UPS and wait for the credit to be issued.....AGGRAVATING....."
143,Bad battery and other problems
144,"This phone is great. Does just what it should and I think it is better made than most of the lower end phones a person can buy now days. They seem to be more fragile, lighter weight and cheaply made. This phone takes really nice pictures, too. It isn't iPad quality, but for the price I am very happy."
145,"These are great phones. My wife's old one had a broken screen, so I replaced this and my son's non RAZR phone. We had good experience with the RAZR, so we decided to get 2 this time. I ""upgraded"" both phones online without any issues. We have an old Verizon plan, didn't want to pay the required data plan for a new smart phone, and didn't like their current non-smart phones. I'm guessing that Verizon intentional had some bad non-smart phones so people would lean towards the more profitable smart phones and plans. We only use our phones for calls, so this was a great alternative to getting a Verizon store offered phone. I am a long time Verizon customer, but would have switched to another provider than pay for an unnecessary data plan if I had to. I am happy I can keep my old plan, and not have to switch to their newer plans. Note that Verizon customer support did not volunteer this upgrade option (buying replacement phone from non-Verizon store) until I asked them directly. I also could not get my GetItNow or BackupAssitant (contact auto-sync) to work on these legacy/unsupported Verizon phones. Not a show stopper for me since I printed (but wasted too much paper--wished they had a simple list view) the contacts that were already in the contacts online from my old, broken phone, and just manually copy/backup the numbers now. Also we (wife and I) don't use GetItNow (much). Too bad since I thought BackupAssistant was one of Verizon's better, more useful features, especially when upgrading phones. It was (and still is) annoying that they didn't upgrade their error messge when trying to run GetItNow/Get_New_App from ""Unable to retrieve catalog. Please try again later. (3332)"" to ""Legacy/unsupported phone. Don't waste your time to try again"". If I didn't see the reviews for this error, I think I would have wasted my time with Verizon support since I didn't see any positive feedback (good/simple solutions) yet. If they wanted to fix the issue, they would of had a good, simple resolution a few years ago, not just possibly getting support at a Verizion store, and possibly getting an unusable phone at the end. Again, my online ""upgrade/replacement"" of my phone was simple and straigtforward, and my phone calls are working fine. I wouldn't think Verison would make much money from supporting or if they still sold these old/legacy phones, so fixing/maintaining their sofware for them would be a very low priority (they wouldn't want say they give no support to their existing phones). At the end, I am still happy I could keep my old (non-data) plan, fix/replace my phone, even though I don't have BackupAssitant. Phone and phone call quality is still 5 stars. Verizon's GetItNow and BackupAssitant support of these legacy Verizon phones, 2 stars."
147,Good phone! Phone arrived kind of dirty but phone works great!
149,"This is an old school Motorola phone, but works well and is reliable. The only thing I am not crazy aout is that the battery doesn't last long. It really needs to be plugged in each night. I bought a newer battery, but it still doesn't last that long."
150,"Very delayed, asked if it had any noticeable defects knowing it was refurbished/used, but was assured it worked great. Extremely delayed navigating from contacts to messages, and so on. Going to have to buy another phone."
151,I really like this phone. It has better reception than my last phone. Less dropped calls and clearer voice reception. Like the size and how easily it opens. I am even getting used to the pink color.
155,"I specifically ordered this particular phone because of the ""little to no scratches"" , not the case here. Screen is scratched inside and out, the phone looks like it was dropped on the corners a dozen times at least, scratches on the back also. This seller needs to be a lot more specific to the condition of the phone. Pictures would be an excellent idea, I didn't turn the phone on yet I hope it works."
156,"Motorola razr gets a 4 star, basic flip phone, easy to activate. Device can take a memory card for music and photos. That was a nice surprise. Haven't used it yet to give an first hand opinion. Doesn't hold a charge for more than a day. However will re-charge very quickly. Heavy users, better carry a battery pack. People may say wow they still sell those! But if your not into the smartphone phenomenon, this phone will suit you well."
157,I was not able to activate the phone (the numbers I needed off of the back were missing).Some numbers on the phone did not work. I had to pay for shipping to receive it and to ship it back. I was only refunded the amount I paid for the phone.
158,"ESN of the phone does not match the Verizon ESN printed on the sticker in the battery compartment. Consequently, Verizon will not activate phone. Wasted $30."
159,"I have had 3 of these phones, this one will not snc to the bluetooth in my car like m other one did, it is the old programming, and it cannot be up dated--I want to return this for a full credit, lets see how I get jerked aroud now"
160,my phone would not connect to the network and it was a verison network and screwed around with it for 2 hours. Never doing that again.
162,"The phone arrived just within the time frame for delivery. The outside was in excellent condition and looked almost new. The inside, however, was dirty and had traces of chocolate! The phone performs all of its functions except that the memory card reader does not work. All in all, considering I was looking for a quick replacement for a phone that wasn't working properly, I am happy with the purchase and the price."
163,"I purchased this rather basic piece of equipment ""used"" assuming that the risk of defect was low. I got burned. The device will not power down completely without pulling the battery. Also, the battery is completely depleted after approx 30 mins of talk. The only reason I didn't returned it is because I had already given it to my elderly mother. Plus, I didn't want to expend more of my valuable returning it. The cost was less than $50."
165,"I bought this for my husband because he doesn't like or want a smartphone. He had an older version of this phone, many years old, and it lasted forever until the battery finally gave out. For about $50 more I was able to get him this new one. It is a great little phone, very slim and light, and the camera and standard features work great. Would recommend for someone who just wants a phone for making and receiving calls, simple texts, and a few pictures here and there."
167,I find this phone to be one of the finest basic phones available. This is my second one. The original lasted six years with one battery replacement. For the money you will not find a better basic phone.
169,"this phone is terrible, as soon as i received the phone i realized that it wasnt charging at all...dont buy a used phone from amazon...its terrible. when i plug the chaarger it says complete charge after 1 or 2 min of using the phone it starts saying low battery...i had to talk on the phone while it was pluged on the wall...bad experience hopefully ill get a complete refund.."
170,Timely arrival. Phone condition was as advertised. Life of battery seems to be OK. Only disappointment in moving it to my Verizon account was that the pictures I had on the phone wouldn't transfer to this one. Contact phone numbers transferred OK.
172,Delivered on time. Better than new.
